NDC Number,Date Introduced to Market,Manufacturer Name,Drug Product Description
72626260101,2019-01-02,Asegua Therapeutics LLC,agLDV/SOF (ledipasvir 90 mg/sofosbuvir 400 mg) tablets
72626270101,2019-01-02,Asegua Therapeutics LLC,agSOF/VEL (sofosbuvir 400 mg/velpatasvir 100 mg) tablets
93765256,2019-01-03,Teva Pharmaceuticals USA,VARDENAFIL HCL TABLETS 2.5MG 30
93765356,2019-01-03,Teva Pharmaceuticals USA,VARDENAFIL HCL TABLETS 5MG 30
93765456,2019-01-03,Teva Pharmaceuticals USA,VARDENAFIL HCL TABLETS 10MG 30
93765556,2019-01-03,Teva Pharmaceuticals USA,VARDENAFIL HCL TABLETS 20MG 30
50242014301,2019-01-07,Genentech USA,Actemra Pen - 162mg (0.9mL)
51862060602,2019-01-14,Mayne Pharma Inc,Halobetasol Propionate 0.05% Foam - Hydroalcoholic
51862060650,2019-01-14,Mayne Pharma Inc,Halobetasol Propionate 0.05% Foam - Hydroalcoholic
68462042121,2019-01-15,"Glenmark Pharmaceuticals Inc., USA",Atovaquone Oral Suspension USP
70710102108,2019-01-18,Zydus Pharmaceuticals (USA) Inc.,Albendazole 200mg Tablets
42358010310,2019-01-21,"Sentynl Therapeutics, Inc.",Levorphanol Tartrate Tablets 3mg
71715000221,2019-02-01,"Paratek Pharmaceuticals, Inc.",NUZYRA 150mg omadacycline tablets 6ct blister pack
71715000223,2019-02-01,"Paratek Pharmaceuticals, Inc.",NUZYRA 150mg omadacycline tablets 14ct Blister Pack
71715000224,2019-02-01,"Paratek Pharmaceuticals, Inc.",NUZYRA 150mg omadacycline tablets 16ct blister pack
71715000102,2019-02-01,"Paratek Pharmaceuticals, Inc.",NUZYRA 150mg single dose vial 10ct carton
591385101,2019-02-06,Teva Pharmaceuticals USA,VIGABATRIN 500MG TABLETS 100
68462044626,2019-02-08,"Glenmark Pharmaceuticals Inc., USA",Sevelamer Hydrochloride Tablets
68462044718,2019-02-08,"Glenmark Pharmaceuticals Inc., USA",Sevelamer Hydrochloride Tablets
45802004475,2019-02-11,Perrigo Pharmaceuticals,Acyclovir 5% Cream 5gm
55566100001,2019-02-14,Ferring Pharmaceuticals,ganirelix
338955810,2019-02-21,Baxter Healthcare Corporation,EPTIFIBATIDE
10144034260,2019-02-25,"Acorda Therapeutics, Inc.",INBRIJA (levodopa inhalation powder)
409111201,2019-02-28,Pfizer,Busulfan Injection 60 mg/10mL (6mg/mL)
47335093640,2019-03-01,SUN PHARMACEUTICALS,"Leuprolide Acetate Injection 1Mg/0.2Ml, 2.8Ml"
52440010014,2019-03-01,"Titan Pharmaceuticals, Inc.",Probuphine Implant
24979003504,2019-03-01,"TWi Pharmaceuticals USA, Inc.",Cyclobenzaprine Hydrochloride ER Capsule 15mg-60’s
24979003604,2019-03-01,"TWi Pharmaceuticals USA, Inc.",Cyclobenzaprine HCl ER Oral Capsule Extended Release 24 Hour 30 MG
70710101401,2019-03-01,Zydus Pharmaceuticals (USA) Inc.,Phytonadione 5mg Tablet
59148002985,2019-03-04,"Otsuka America Pharmaceutical, Inc.",ABILIFY MYCITE 2mg (aripiprazole tablets with sensor)
59148003085,2019-03-04,"Otsuka America Pharmaceutical, Inc.",ABILIFY MYCITE 5mg (aripiprazole tablets with sensor)
59148003185,2019-03-04,"Otsuka America Pharmaceutical, Inc.",ABILIFY MYCITE 10mg (aripiprazole tablets with sensor)
59148003285,2019-03-04,"Otsuka America Pharmaceutical, Inc.",ABILIFY MYCITE 15mg (aripiprazole tablets with sensor)
59148003385,2019-03-04,"Otsuka America Pharmaceutical, Inc.",ABILIFY MYCITE 20mg (aripiprazole tablets with sensor)
59148003485,2019-03-04,"Otsuka America Pharmaceutical, Inc.",ABILIFY MYCITE 30mg (aripiprazole tablets with sensor)
50458002802,2019-03-08,Janssen,SPRAVATO  Estekamine Nasal Spray 56mg (2X28mg)
50458002803,2019-03-08,Janssen,SPRAVATO  Estekamine Nasal Spray 84mg (3X28mg)
469133050,2019-03-12,"Astellas Pharma US, Inc.",Prograf Granules (tacrolimus for oral suspension) 1mg
469123050,2019-03-12,"Astellas Pharma US, Inc.",Prograf Granules (tacrolimus for oral suspension) 0.2mg
45963045430,2019-03-22,Teva Pharmaceuticals USA,DEFERASIROX 125MG TABLETS 30
45963045530,2019-03-22,Teva Pharmaceuticals USA,DEFERASIROX 250MG TABLETS 30
45963045630,2019-03-22,Teva Pharmaceuticals USA,DEFERASIROX 500MG TABLETS 30
50242091801,2019-03-23,Genentech USA,Tecentriq 840 mg (14mL)
781342080,2019-03-25,Sandoz Inc.,TREPROSTINIL INJECTION 20MG/20ML (1MG/ML) 1LIVI
781342580,2019-03-25,Sandoz Inc.,TREPROSTINIL INJECTION 50MG/20ML (2.5MG/ML) 1LIVI
781342780,2019-03-25,Sandoz Inc.,TREPROSTINIL INJECTION 100MG/20ML (5MG/ML) 1LIVI
781343080,2019-03-25,Sandoz Inc.,TREPROSTINIL INJECTION 200MG/20ML (10MG/ML) 1LIVI
78098615,2019-03-27,Novartis,"MAYZENTTM is available as 2 mg tablet (equivalent to 2.224mg siponimod fumaric acid): pale yellow, unscored, round biconvex film-coated tablet with beveled edges, debossed with Novartis symbol on one side and “T” on other side."
78097950,2019-03-27,Novartis,"MAYZENTTM is available as 0.25 mg tablet (equivalent to 0.278mg siponimod fumaric acid): Pale red, unscored, round biconvex film-coated tablet with beveled edges, debossed with Novartis symbol on one side and “T” on other side."
