NDC Number,Date Introduced to Market,Manufacturer Name,Drug Product Description
5846802271,2019-04-02,Sanofi,Cablivi (caplacizumab-yhdp)
44087040004,2019-04-02,"EMD Serono, Inc.",Mavenclad (cladribine) 10 mg per tablet (4)
44087040005,2019-04-02,"EMD Serono, Inc.",Mavenclad (cladribine) 10 mg per tablet (5)
44087040006,2019-04-02,"EMD Serono, Inc.",Mavenclad (cladribine) 10 mg per tablet (6)
44087040007,2019-04-02,"EMD Serono, Inc.",Mavenclad (cladribine) 10 mg per tablet (7)
44087040008,2019-04-02,"EMD Serono, Inc.",Mavenclad (cladribine) 10 mg per tablet (8)
44087040009,2019-04-02,"EMD Serono, Inc.",Mavenclad (cladribine) 10 mg per tablet (9)
44087040010,2019-04-02,"EMD Serono, Inc.",Mavenclad (cladribine) 10 mg per tablet (10)
121168040,2019-04-05,"Pharmaceutical Associates, Inc",Potassium Chloride Oral Solution
121168000,2019-04-05,"Pharmaceutical Associates, Inc",Potassium Chloride Oral Solution
121252000,2019-04-05,"Pharmaceutical Associates, Inc",Potassium Chloride Oral Solution
121252040,2019-04-05,"Pharmaceutical Associates, Inc",Potassium Chloride Oral Solution
50242007701,2019-04-08,Genentech USA,Herceptin Hylecta - 600mg (5mL) Inject Sol
49884082011,2019-04-12,Par Pharmaceutical,Alosetron HCl Tablets 1mg   30s
59676003056,2019-04-15,Janssen,BALVERSA Erdafitinib 3mg 56 tablets
59676003084,2019-04-15,Janssen,BALVERSA Erdafitinib 3mg 84 tablets
59676004028,2019-04-15,Janssen,BALVERSA Erdafitinib  4mg 28 tablets
59676004056,2019-04-15,Janssen,BALVERSA Erdafitinib 4mg 56 tablets
59676005028,2019-04-15,Janssen,BALVERSA  Erdafitinib 5mg 28 tablets
55513088002,2019-04-15,Amgen,Evenity 210 mg/2.34 mL (105 mg/1.17 mL x 2)
70710117903,2019-04-15,Zydus Pharmaceuticals (USA) Inc.,Ambrisentan 5mg Tablets
70710118003,2019-04-15,Zydus Pharmaceuticals (USA) Inc.,Ambrisentan 10mg Tablets
93526398,2019-04-22,Teva Pharmaceuticals USA,SOLIFENACIN SUCCINATE TABLETS 5MG 90
93526498,2019-04-22,Teva Pharmaceuticals USA,SOLIFENACIN SUCCINATE TABLETS 10MG 90
49702024613,2019-04-23,ViiV Healthcare,DOVATO TAB 50-300MG
47335023683,2019-04-25,SUN PHARMACEUTICALS,Ambrisentan 5 mg Tabs 30ct
47335023783,2019-04-25,SUN PHARMACEUTICALS,Ambrisentan 10 mg Tabs 30ct
68418793906,2019-04-26,Biocodex USA,Stiripentol Oral Capsule 250 MG
68418794006,2019-04-26,Biocodex USA,Stiripentol Oral Capsule 500 MG
68418794106,2019-04-26,Biocodex USA,Stiripentol Oral Packet 250 MG
